elapsed_s,temperature.gpu,temperature.gpu.tlimit,power.draw,utilization.gpu,memory.used,clocks_event_reasons.hw_thermal_slowdown,clocks_event_reasons.sw_thermal_slowdown,clocks_event_reasons.hw_power_brake_slowdown
2924.6,43,31,21.73,0,11651,Not Active,Not Active,Not Active
2934.7,43,31,21.74,0,11651,Not Active,Not Active,Not Active
2944.7,43,31,21.81,0,11651,Not Active,Not Active,Not Active
2954.8,42,32,21.43,0,11651,Not Active,Not Active,Not Active
2964.8,42,32,20.82,0,11651,Not Active,Not Active,Not Active
2974.9,47,27,99.20,0,11701,Not Active,Not Active,Not Active
2985.0,63,20,220.13,100,14371,Not Active,Not Active,Not Active
2995.0,51,11,158.92,0,11771,Not Active,Not Active,Not Active
3005.1,47,26,35.69,22,11221,Not Active,Not Active,Not Active
3015.1,46,28,22.02,0,11749,Not Active,Not Active,Not Active
3025.2,45,29,22.70,0,11749,Not Active,Not Active,Not Active
3035.3,44,30,22.05,1,11749,Not Active,Not Active,Not Active
3045.4,44,30,21.56,0,11749,Not Active,Not Active,Not Active
3055.4,43,31,22.18,0,11749,Not Active,Not Active,Not Active
3065.5,43,31,21.81,0,11749,Not Active,Not Active,Not Active
3075.5,43,31,21.50,0,11749,Not Active,Not Active,Not Active
3085.6,42,32,21.65,0,11749,Not Active,Not Active,Not Active
3095.7,42,32,21.73,0,11749,Not Active,Not Active,Not Active
3105.7,49,25,165.96,0,12089,Not Active,Not Active,Not Active
3115.8,45,29,28.52,0,11633,Not Active,Not Active,Not Active
3125.8,51,24,156.67,0,11753,Not Active,Not Active,Not Active
3135.9,47,27,35.12,0,11747,Not Active,Not Active,Not Active
3145.9,46,28,22.31,0,11829,Not Active,Not Active,Not Active
3156.0,45,29,22.44,0,11829,Not Active,Not Active,Not Active
3166.0,44,30,21.94,0,11829,Not Active,Not Active,Not Active
3176.1,44,30,22.23,1,11829,Not Active,Not Active,Not Active
3186.1,43,31,21.91,0,11829,Not Active,Not Active,Not Active
3196.2,43,31,21.58,0,11829,Not Active,Not Active,Not Active
3206.2,43,31,22.09,0,11829,Not Active,Not Active,Not Active
3216.3,42,32,21.17,0,11829,Not Active,Not Active,Not Active
3226.3,42,32,21.33,1,11829,Not Active,Not Active,Not Active
3236.4,46,28,78.40,0,14441,Not Active,Not Active,Not Active
3246.4,49,26,203.78,0,14399,Not Active,Not Active,Not Active
3256.5,52,23,191.64,0,10729,Not Active,Not Active,Not Active
3266.5,47,28,30.95,0,11791,Not Active,Not Active,Not Active
3276.6,47,27,40.29,0,14489,Not Active,Not Active,Not Active
3286.6,45,29,22.10,0,14489,Not Active,Not Active,Not Active
3296.7,45,29,22.07,0,14489,Not Active,Not Active,Not Active
3306.7,44,30,22.03,0,14489,Not Active,Not Active,Not Active
3316.8,44,30,21.45,0,14489,Not Active,Not Active,Not Active
3326.8,43,31,21.73,0,14489,Not Active,Not Active,Not Active
3336.8,43,31,22.20,0,14489,Not Active,Not Active,Not Active
3346.9,43,31,21.67,0,14489,Not Active,Not Active,Not Active
3356.9,42,32,22.06,0,14489,Not Active,Not Active,Not Active
3367.0,47,20,128.97,0,11809,Not Active,Not Active,Not Active
3377.1,49,25,144.58,0,14309,Not Active,Not Active,Not Active
3387.1,50,23,155.87,0,11745,Not Active,Not Active,Not Active
3397.2,52,22,235.36,0,14361,Not Active,Not Active,Not Active
3407.2,46,28,22.92,1,14361,Not Active,Not Active,Not Active
3417.3,45,29,22.02,0,14361,Not Active,Not Active,Not Active
3427.3,45,29,22.14,0,14361,Not Active,Not Active,Not Active
3437.4,44,30,21.96,0,14361,Not Active,Not Active,Not Active
3447.5,44,30,21.90,0,14361,Not Active,Not Active,Not Active
3457.5,43,31,21.89,0,14361,Not Active,Not Active,Not Active
