elapsed_s,temperature.gpu,temperature.gpu.tlimit,power.draw,utilization.gpu,memory.used,clocks_event_reasons.hw_thermal_slowdown,clocks_event_reasons.sw_thermal_slowdown,clocks_event_reasons.hw_power_brake_slowdown
3910.0,43,31,21.92,0,11461,Not Active,Not Active,Not Active
3920.0,43,31,21.96,1,11461,Not Active,Not Active,Not Active
3930.2,43,31,22.29,0,11461,Not Active,Not Active,Not Active
3940.2,42,32,21.83,0,11461,Not Active,Not Active,Not Active
3950.3,44,30,40.51,0,11715,Not Active,Not Active,Not Active
3960.3,48,13,167.33,38,11771,Not Active,Not Active,Not Active
3970.4,65,19,260.61,100,14363,Not Active,Not Active,Not Active
3980.6,54,19,279.46,0,14189,Not Active,Not Active,Not Active
3990.7,46,28,23.83,0,11649,Not Active,Not Active,Not Active
4000.7,45,29,22.86,7,11649,Not Active,Not Active,Not Active
4010.7,45,29,22.12,1,11649,Not Active,Not Active,Not Active
4020.8,44,30,21.93,0,11649,Not Active,Not Active,Not Active
4030.8,44,30,21.95,0,11649,Not Active,Not Active,Not Active
4040.9,43,31,21.84,0,11649,Not Active,Not Active,Not Active
4050.9,43,31,21.91,0,11649,Not Active,Not Active,Not Active
4061.0,43,32,21.67,0,11649,Not Active,Not Active,Not Active
4071.0,42,32,21.58,0,11649,Not Active,Not Active,Not Active
4081.1,45,29,127.91,0,12009,Not Active,Not Active,Not Active
4091.1,65,10,227.40,100,14217,Not Active,Not Active,Not Active
4101.2,49,25,156.17,0,10729,Not Active,Not Active,Not Active
4111.3,50,25,81.66,0,11705,Not Active,Not Active,Not Active
