elapsed_s,temperature.gpu,temperature.gpu.tlimit,power.draw,utilization.gpu,memory.used,clocks_event_reasons.hw_thermal_slowdown,clocks_event_reasons.sw_thermal_slowdown,clocks_event_reasons.hw_power_brake_slowdown
703.5,41,33,29.53,35,12953,Not Active,Not Active,Not Active
713.5,41,33,30.27,27,12948,Not Active,Not Active,Not Active
723.6,41,33,29.60,25,12948,Not Active,Not Active,Not Active
733.6,41,33,29.34,38,12958,Not Active,Not Active,Not Active
743.7,41,33,29.20,34,12958,Not Active,Not Active,Not Active
753.7,41,33,29.01,38,12958,Not Active,Not Active,Not Active
763.8,41,33,36.02,25,12960,Not Active,Not Active,Not Active
773.8,41,33,29.58,30,12960,Not Active,Not Active,Not Active
783.9,41,33,28.64,13,12921,Not Active,Not Active,Not Active
793.9,41,33,27.96,19,12922,Not Active,Not Active,Not Active
804.0,41,33,27.97,18,12922,Not Active,Not Active,Not Active
814.0,40,34,27.41,14,12922,Not Active,Not Active,Not Active
824.1,41,33,28.57,12,13065,Not Active,Not Active,Not Active
834.1,40,34,27.36,23,13119,Not Active,Not Active,Not Active
844.2,40,34,28.76,15,13132,Not Active,Not Active,Not Active
854.2,40,34,28.12,22,2141,Not Active,Not Active,Not Active
864.3,41,33,29.02,7,2147,Not Active,Not Active,Not Active
874.3,40,34,27.47,23,2184,Not Active,Not Active,Not Active
884.3,40,34,28.90,23,2280,Not Active,Not Active,Not Active
894.4,40,34,28.44,16,2214,Not Active,Not Active,Not Active
904.4,40,34,27.70,22,2208,Not Active,Not Active,Not Active
914.5,40,34,27.00,16,2204,Not Active,Not Active,Not Active
924.5,40,34,27.08,23,2199,Not Active,Not Active,Not Active
934.5,40,34,27.53,14,2199,Not Active,Not Active,Not Active
944.6,40,34,26.86,13,2199,Not Active,Not Active,Not Active
954.6,40,34,27.34,19,2198,Not Active,Not Active,Not Active
964.7,40,34,26.60,8,2198,Not Active,Not Active,Not Active
974.7,40,34,27.10,7,2198,Not Active,Not Active,Not Active
984.8,40,34,26.83,19,2196,Not Active,Not Active,Not Active
994.8,39,35,26.35,10,2196,Not Active,Not Active,Not Active
1004.9,39,35,26.81,18,2196,Not Active,Not Active,Not Active
1014.9,39,35,27.48,20,2196,Not Active,Not Active,Not Active
1024.9,39,35,27.21,11,2196,Not Active,Not Active,Not Active
1035.0,39,35,26.37,10,2196,Not Active,Not Active,Not Active
1045.0,39,35,26.71,11,2196,Not Active,Not Active,Not Active
1055.1,39,35,26.18,13,2196,Not Active,Not Active,Not Active
1065.1,39,35,25.82,19,2196,Not Active,Not Active,Not Active
1075.2,39,35,25.98,7,2196,Not Active,Not Active,Not Active
1085.2,39,35,26.51,7,2196,Not Active,Not Active,Not Active
1095.3,39,35,26.39,20,2196,Not Active,Not Active,Not Active
1105.3,39,35,25.50,7,2196,Not Active,Not Active,Not Active
1115.4,39,35,26.59,16,2196,Not Active,Not Active,Not Active
1125.4,39,35,27.09,20,2196,Not Active,Not Active,Not Active
1135.5,39,35,27.19,14,2196,Not Active,Not Active,Not Active
1145.5,39,35,26.87,7,2194,Not Active,Not Active,Not Active
1155.5,39,35,26.85,11,2186,Not Active,Not Active,Not Active
1165.6,39,35,26.39,16,2186,Not Active,Not Active,Not Active
1175.6,39,35,26.65,19,2186,Not Active,Not Active,Not Active
1185.7,39,35,26.08,8,2186,Not Active,Not Active,Not Active
1195.7,39,35,26.71,7,2186,Not Active,Not Active,Not Active
1205.8,39,35,27.09,18,2186,Not Active,Not Active,Not Active
1215.8,39,35,26.65,9,2186,Not Active,Not Active,Not Active
1225.9,39,35,27.36,12,2186,Not Active,Not Active,Not Active
1235.9,39,35,26.98,18,2186,Not Active,Not Active,Not Active
1246.0,39,35,26.54,13,2186,Not Active,Not Active,Not Active
1256.0,39,35,26.49,10,2186,Not Active,Not Active,Not Active
1266.0,39,35,26.98,20,2186,Not Active,Not Active,Not Active
1276.1,39,35,26.06,14,2186,Not Active,Not Active,Not Active
1286.1,39,35,26.41,15,2186,Not Active,Not Active,Not Active
1296.2,39,35,26.85,11,2186,Not Active,Not Active,Not Active
1306.2,39,35,25.81,12,2186,Not Active,Not Active,Not Active
1316.3,39,35,26.22,22,2186,Not Active,Not Active,Not Active
1326.3,39,35,26.41,15,2186,Not Active,Not Active,Not Active
1336.4,39,35,26.59,15,2186,Not Active,Not Active,Not Active
1346.4,39,35,26.86,24,2186,Not Active,Not Active,Not Active
1356.5,39,35,26.76,11,2186,Not Active,Not Active,Not Active
1366.5,39,35,25.91,12,2186,Not Active,Not Active,Not Active
